"","tweet_text","create_at","names","screen_name","Gender"
"43","the exchange traded funds etf made their debut in the stock market back in  but didn‚Äôt become widely used ","2017-02-01 12:19:06","WIFKINSONMAGNUS","TADEO CALVARD",NA
"44","looks like somebody blew a lead in the stock market ","2017-01-31 08:40:41","TEEDUPKIRK","KIRK",2
"45","traders like net ueps today on bank frick stake   nasdaq otc timothysykes jimcramer stocks money markets trading","2017-02-01 11:33:07","EXCITINGSTOCKS","EXCITINGSTOCKS",NA
"46","watch economics professor and experienced stock market analyst stuart varney explain you stuff s‚Ä ","2017-01-31 16:12:53","SEANSPICERWH","SEAN SPICER",NA
"47","from russia with love russian stock market great long term buy ","2017-02-02 06:18:18","DRACO333999","DRACO  COOPER",NA
"48","sydney stock market ‚ closing  repulsion mining stocks and oil stocks are high
 reuters ","2017-02-01 10:28:58","JAPAN_ECONOMIC","JAPAN ECONOMIC NEWS",NA
"49","soros heavily shorts stock market agianst america ","2017-02-01 15:55:38","1MUNDER","JAMES MUNDER",2
"50"," boom companies that openly criticized trump for making america safe again take stock market hit ‚‚Ä ","2017-02-01 10:53:01","NATIVE4TRUMP","",NA
"51","newswatch  signs a february stockmarket selloff may be brewing after a protracted period of buoyancy us stoc‚Ä","2017-01-31 12:14:07","FRONTBUSINESS","FRONT BUSINESS NEWS",NA
"52"," is this your first stock market tweet in  years  because you missed the last ","2017-01-31 06:44:09","DAGSTEAR","DAGSTER",NA
"53","clintonlinked ‚Äòlaureate education‚Äô tanks in first day on stock market ","2017-02-02 09:42:37","US_NEWSEXPRESS","AMERICAN HIGHS NEWS",2
"54","keep track of the latest ups and downs of the stock market with icicidirect visit to know‚Ä ","2017-01-31 11:15:01","ICICI_DIRECT","ICICIDIRECT",NA
"55","wall street suffers worst day in months following trump travel ban

","2017-01-31 08:47:04","KADEKADE100","K.D.",NA
"56","check out these sccy cpx mm pistols we have in stock 

one gun  different color options‚Ä ","2017-01-31 18:03:26","AZFIREARMS","AZFIREARMS.COM",NA
"57","chart of the day stock market capitalization as  of gdp at nd highest level in  years ","2017-01-31 14:18:39","NEWSCOMPLEX","NEWS COMPLEX",NA
"58","it all started with a ","2017-02-02 17:59:17","NYCORDONEZ","SANDRA ORDONEZ",2
"59","never make financial decisions based on mainstream news  ","2017-01-31 19:48:15","SAUL42","TACTICAL INVESTOR",NA
"60","the stock market is way overbought fck","2017-01-31 14:24:26","JIMMYMURPHY02","JIMMYMURPHY02",2
"61","should you invest in the stock market now stock investing earlyretire ","2017-02-02 10:09:53","RETIREBYFORTY","RETIREBYFORTY",NA
"62","rdsb  shells big bet on gas still up in the air  heard on the street ","2017-02-02 06:50:05","LAURIESANDRA","LAURIE ASH",2
"63"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:21:09","THEJOEVANWICK","JOE VAN WICK",NA
"64"," stock picks in the  billion virtual reality market ","2017-02-02 07:39:37","THEBIZTWEETS","BUSINESS NEWS",NA
"65","  welcome to the st century ","2017-01-31 13:26:29","ERRBODYLUHHONEY","RICHE FOREVER",1
"66","february   market closing report
","2017-02-01 16:35:43","IFSG","IFSG-MATT DRESSEL",NA
"67"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:00:55","DHEERAJ8128","DHEERAJ",NA
"68"," wait till we have a national sick out or no spend money day the stock market will love us then","2017-01-31 14:31:23","RETIREDFIRSTSGT","RICHARD PUNKO",2
"69"," loan money stock market ","2017-02-01 14:22:57","FROSGOODJO91","JENNIFER YOUNG",2
"70"," android programming this year i want to learn c and look into some speedcritical applications such as stock market","2017-01-31 07:45:08","REVIEWGAL","SAM",2
"71"," plans dont crash the stock market  skittish investors do over our whiny democrats that protest too much ","2017-01-31 19:24:05","CHARLI_WHISKY","CHARLIWHISKY",2
"72","take that primer who needs to influence the stock market when you can drastically improve sw hockey

tumbleweeds blow by","2017-01-30 18:18:39","THECINEMASIEVE","JOE GIERINGER",NA
"73"," the trump stock market is down another  points so far today","2017-01-31 11:49:49","JOYJOYWIT","JOYWIT",NA
"74","don‚Äôt listen to the jackasses masquerading as experts unless you want to lose all your money ","2017-02-02 15:04:42","ME_THE_INVESTOR","W_INVESTOR",NA
"75"," stock exchange market to list medview airlines on gradually aviation is taking her rightful place in the‚Ä ","2017-02-02 12:47:15","INTELLECTUAL316","KWANSON KONJOL",NA
"76","brexit on steroids  trump wins triggers massive stockmarket rally ","2017-01-31 11:46:11","YERISSA_BLONDEE","YERISSA MELONFIELD",NA
"77"," good i hope they go out of business ","2017-01-31 20:28:32","ALHOLMES66","AL HOLMES",NA
"78","snapchat files plans for stock market listing","2017-02-02 17:26:41","AIRGEADAIS","AIRGEADAIS",NA
"79","should you invest in the stock market now stock invest earlyretire ","2017-02-02 17:28:45","RETIREBYFORTY","RETIREBYFORTY",NA
"80","google bbcbreaking snapchat owner files for listing on us stock market to raise bn making it biggest us flot‚Ä ","2017-02-02 17:41:11","ASIFPERVEZPHD","ASIF PERVEZ",NA
"81","investors worried about a stock market crash   don‚Äôt worry be happy ","2017-02-01 17:10:02","MEYERS000111","JOHNATHAN MEYERS",2
"82","alert today the stock market fired a warning shot this is what‚Äôs next by gregory mannarino ","2017-02-01 19:14:43","BITCOINERS_INFO","INFO BITCOIN¬Ñ¢",NA
"83"," share prices uk stock market information financial news stock charts share trades virtual stock trading ","2017-02-01 16:04:57","DERMIOBANK92","RILEY",2
"84","stockmarket crash more like stock market hogwash never listen to naysayers ","2017-02-01 14:21:42","TREND_AUDITOR","TREND AUDITOR",NA
"85","pennystock news otc markets group inc otcm otcqx us premier  otc markets group welcomes minco gold to o ","2017-01-31 07:20:13","MICROCAPLAWYER","ADAM TRACY, JD, MBA",NA
"86","i don‚Äôt think the stock market alone is a good indicator of economic health but i do like challenging my own belie‚Ä ","2017-02-01 13:56:55","NICKFEREZIN","NICHOLAS FEREZIN",2
"87","gold gains as stock market volatility collapses to year lows btc bitcoin","2017-02-02 16:23:09","BMOULER","BERT MOULER",NA
"88","if stock market experts were toexpert they would be buying stock not selling advice   norman r augustine","2017-02-02 15:02:44","SERMANZANO352","MARISOL",1
